definicion.id,definicion.defi,,,,,
,"An annotation is a critical examination, or commentary of a book, article , or other publication. It includes important aspects of content not evident in the title.",,,,,"critical examitation, commentary of a book, publication, content"
,"An annotation is a note, summary, or commentary on some section of a book or a statute that is intended to explain or illustrate its meaning. An annotation is a...",,,,,"note, summary, section of a book, statute, meaning"
,What is GO annotation? An annotation is a statement that a gene product has a particular molecular function. is involved in a particular biological.,,,,,"statement, product, molecular function, "
,What is an annotation? An annotation is a short description of an item. Annotations describe (summarize important content) and evaluate (critically analyze) the...,,,,,"short description, item, describe, evaluate, "
,"capitalization, indentation, and punctuation. The annotation is a short critical review of the work. The annotation should include: a brief summary of the content...",,,,,"short critical, brief summary, content"
,"m/tag), keeping its morphological information. The analytical layer corresponds to the surface syntax of the sentence; the annotation is a rooted dependency tree.",,,,,"analytical, dependency treem rooted"
,"An annotation is a brief description of a book, article, or other publication, including audio-visual materials. Its purpose is to characterize the publication in such a...",,,,,"brief description, book, article, publication, audio visual materials"
,"An annotation is a summary and/or evaluation. Therefore, an annotated bibliography includes a summary and/or evaluation of each of the sources. Depending...",,,,,"summary, evaluation, sources, annotated bibliography"
,"An annotation is a summary or evaluation. Therefore, an annotated bibliography consists of a list of sources in which each source is accompanied by a summary...",,,,,"summary, evaluation, sources, annotated bibliography"
,"In common parlance, the annotation is a critical or explanatory note, which is writ- ten on a ... In computing, the annotation is a concept (predefined) attached to a.",,,,,"critical, explanatory note, concept"
,"The annotation is a brief description or explanation of material, intended as a ... ""An annotation is a short statement that tells what is important or",,,,,"brief description, short statement, important"
,"An annotation is a declarative programming model where comments, ... The annotation is a @Select , it takes the SQL statement as a parameter and maps the...",,,,,"declarative, programming model, select"
,"What is annotation? An annotation is a note, summary, or commentary on some section of a book or a statute that is intended to explain or illustrate its meaning.",,,,,"note, summary, commentary, section of a book, statute, meaning"
,"m/tag), keeping its morphological information. The analytical layer corresponds to the surface syntax of the sentence; the annotation is a rooted dependency tree.",,,,,"analytical, dependency treem rooted"
,The annotation is a brief paragraph following the citation. Purpose of the Annotation: The annotation of a source can serve several different purposes; your...,,,,,"brief paragraph, source, different purposes"
,"An annotation is a note, explanation, or commentary added to a text, image, or other data. An annotated bibliography is similar to a bibliography...",,,,,"note, explanation, commentary, added to text, data, bibliography"
